Date,Qty,DRUG
2017-08-26 00:00:00,40,Diclofenac 50mg tabs ord. 10x10
2017-08-27 00:00:00,2,Action tabs (1x50) (pairs)
2017-08-27 00:00:00,4,Albendazole 400mg ord.. (doses)
2017-08-27 00:00:00,5,Amlodac 10mg (3x10) (tabs)
2017-08-27 00:00:00,141,Amoxycilin caps ord… (10x10)
2017-08-27 00:00:00,55,Ampicloxa 500mg caps ord(10x10)
2017-08-27 00:00:00,10,Ciprofloxacin ord 10x10
2017-08-27 00:00:00,5,Cotrimoxazole 480mg ord…
2017-08-27 00:00:00,20,Dexa tabs 0.5mg 10x10
2017-08-27 00:00:00,20,Diclofenac 50mg tabs ord. 10x10
2017-08-28 00:00:00,1,Action tabs (1x50) (pairs)
2017-08-28 00:00:00,1,Albendazole 400mg ord.. (doses)
2017-08-28 00:00:00,4,Amlodac 10mg (3x10) (tabs)
2017-08-28 00:00:00,140,Amoxycilin caps ord… (10x10)
2017-08-28 00:00:00,22,Ampicloxa 500mg caps ord(10x10)
2017-08-28 00:00:00,3,Ceftriaxone Inj ord…
2017-08-28 00:00:00,10,Cotrimoxazole 480mg ord…
2017-08-28 00:00:00,216,Dexa tabs 0.5mg 10x10
2017-08-28 00:00:00,258,Diclofenac 50mg tabs ord. 10x10
2017-08-29 00:00:00,1,Action tabs (1x50) (pairs)
2017-08-29 00:00:00,3,Albendazole 400mg ord.. (doses)
2017-08-29 00:00:00,45,Amoxycilin caps ord… (10x10)
2017-08-29 00:00:00,10,Ampicloxa 500mg caps ord(10x10)
2017-08-29 00:00:00,5,Ceftriaxone Inj ord…
2017-08-29 00:00:00,45,Ciprofloxacin ord 10x10
2017-08-29 00:00:00,100,Cotrimoxazole 480mg ord…
2017-08-29 00:00:00,20,Dexa tabs 0.5mg 10x10
2017-08-29 00:00:00,110,Diclofenac 50mg tabs ord. 10x10
2017-08-30 00:00:00,1,Action tabs (1x50) (pairs)
2017-08-30 00:00:00,1,Albendazole 400mg ord.. (doses)
2017-08-30 00:00:00,10,Amlodac 10mg (3x10) (tabs)
2017-08-30 00:00:00,9,Amoxycilin caps ord… (10x10)
2017-08-30 00:00:00,70,Ampicloxa 500mg caps ord(10x10)
2017-08-30 00:00:00,11,Ceftriaxone Inj ord…
2017-08-30 00:00:00,15,Cotrimoxazole 480mg ord…
2017-08-30 00:00:00,36,Dexa tabs 0.5mg 10x10
2017-08-30 00:00:00,68,Diclofenac 50mg tabs ord. 10x10
2017-08-31 00:00:00,4,Albendazole 400mg ord.. (doses)
2017-08-31 00:00:00,10,Amoxycilin caps ord… (10x10)
2017-08-31 00:00:00,43,Ampicloxa 500mg caps ord(10x10)
2017-08-31 00:00:00,35,Ceftriaxone Inj ord…
2017-08-31 00:00:00,30,Ciprofloxacin ord 10x10
2017-08-31 00:00:00,14,Dexa tabs 0.5mg 10x10
2017-08-31 00:00:00,34,Diclofenac 50mg tabs ord. 10x10
2017-09-01 00:00:00,4,Action tabs (1x50) (pairs)
2017-09-01 00:00:00,45,Amoxycilin caps ord… (10x10)
2017-09-01 00:00:00,15,Ampicloxa 500mg caps ord(10x10)
2017-09-01 00:00:00,17,Ceftriaxone Inj ord…
2017-09-01 00:00:00,10,Ciprofloxacin ord 10x10
2017-09-01 00:00:00,10,Cotrimoxazole 480mg ord…
2017-09-01 00:00:00,30,Dexa tabs 0.5mg 10x10
2017-09-01 00:00:00,20,Diclofenac 50mg tabs ord. 10x10
2017-09-02 00:00:00,15,Amoxycilin caps ord… (10x10)
2017-09-02 00:00:00,123,Ampicloxa 500mg caps ord(10x10)
2017-09-02 00:00:00,10,Ceftriaxone Inj ord…
2017-09-02 00:00:00,8,Cotrimoxazole 480mg ord…
2017-09-02 00:00:00,24,Diclofenac 50mg tabs ord. 10x10
2017-09-03 00:00:00,30,Action tabs (1x50) (pairs)
2017-09-03 00:00:00,4,Albendazole 400mg ord.. (doses)
2017-09-03 00:00:00,1,Amlodac 10mg (3x10) (tabs)
2017-09-03 00:00:00,130,Amoxycilin caps ord… (10x10)
2017-09-03 00:00:00,77,Ampicloxa 500mg caps ord(10x10)
2017-09-03 00:00:00,19,Ceftriaxone Inj ord…
2017-09-03 00:00:00,137,Ciprofloxacin ord 10x10
2017-09-03 00:00:00,10,Cotrimoxazole 480mg ord…
2017-09-03 00:00:00,30,Dexa tabs 0.5mg 10x10
2017-09-03 00:00:00,40,Diclofenac 50mg tabs ord. 10x10
2017-09-04 00:00:00,3,Albendazole 400mg ord.. (doses)
2017-09-04 00:00:00,10,Amlodac 10mg (3x10) (tabs)
2017-09-04 00:00:00,10,Amoxycilin caps ord… (10x10)
2017-09-04 00:00:00,34,Ampicloxa 500mg caps ord(10x10)
2017-09-04 00:00:00,3,Ceftriaxone Inj ord…
2017-09-04 00:00:00,28,Ciprofloxacin ord 10x10
2017-09-04 00:00:00,15,Cotrimoxazole 480mg ord…
2017-09-04 00:00:00,92,Dexa tabs 0.5mg 10x10
2017-09-04 00:00:00,100,Diclofenac 50mg tabs ord. 10x10
2017-09-05 00:00:00,2,Action tabs (1x50) (pairs)
2017-09-05 00:00:00,6,Albendazole 400mg ord.. (doses)
2017-09-05 00:00:00,45,Amoxycilin caps ord… (10x10)
2017-09-05 00:00:00,129,Ampicloxa 500mg caps ord(10x10)
2017-09-05 00:00:00,17,Ceftriaxone Inj ord…
2017-09-05 00:00:00,5,Cotrimoxazole 480mg ord…
2017-09-05 00:00:00,10,Dexa tabs 0.5mg 10x10
2017-09-05 00:00:00,40,Diclofenac 50mg tabs ord. 10x10
2017-09-06 00:00:00,3,Action tabs (1x50) (pairs)
2017-09-06 00:00:00,2,Amlodac 10mg (3x10) (tabs)
2017-09-06 00:00:00,80,Amoxycilin caps ord… (10x10)
2017-09-06 00:00:00,42,Ampicloxa 500mg caps ord(10x10)
2017-09-06 00:00:00,6,Ceftriaxone Inj ord…
2017-09-06 00:00:00,10,Cotrimoxazole 480mg ord…
2017-09-06 00:00:00,44,Dexa tabs 0.5mg 10x10
2017-09-06 00:00:00,4,Diclofenac 50mg tabs ord. 10x10
2017-09-07 00:00:00,1,Action tabs (1x50) (pairs)
2017-09-07 00:00:00,1,Albendazole 400mg ord.. (doses)
2017-09-07 00:00:00,75,Amoxycilin caps ord… (10x10)
2017-09-07 00:00:00,25,Ampicloxa 500mg caps ord(10x10)
2017-09-07 00:00:00,13,Ceftriaxone Inj ord…
2017-09-07 00:00:00,12,Ciprofloxacin ord 10x10
2017-09-07 00:00:00,5,Cotrimoxazole 480mg ord…
2017-09-07 00:00:00,30,Dexa tabs 0.5mg 10x10
2017-09-07 00:00:00,36,Diclofenac 50mg tabs ord. 10x10
2017-09-08 00:00:00,1,Action tabs (1x50) (pairs)
2017-09-08 00:00:00,245,Amoxycilin caps ord… (10x10)
2017-09-08 00:00:00,55,Ampicloxa 500mg caps ord(10x10)
2017-09-08 00:00:00,23,Ceftriaxone Inj ord…
2017-09-08 00:00:00,10,Ciprofloxacin ord 10x10
2017-09-08 00:00:00,50,Cotrimoxazole 480mg ord…
2017-09-08 00:00:00,6,Dexa tabs 0.5mg 10x10
2017-09-08 00:00:00,20,Diclofenac 50mg tabs ord. 10x10
2017-09-09 00:00:00,3,Action tabs (1x50) (pairs)
2017-09-09 00:00:00,10,Amoxycilin caps ord… (10x10)
2017-09-09 00:00:00,56,Ampicloxa 500mg caps ord(10x10)
2017-09-09 00:00:00,11,Ceftriaxone Inj ord…
2017-09-09 00:00:00,20,Ciprofloxacin ord 10x10
2017-09-09 00:00:00,15,Cotrimoxazole 480mg ord…
2017-09-09 00:00:00,52,Dexa tabs 0.5mg 10x10
2017-09-10 00:00:00,1,Albendazole 400mg ord.. (doses)
2017-09-10 00:00:00,10,Amlodac 10mg (3x10) (tabs)
2017-09-10 00:00:00,14,Amoxycilin caps ord… (10x10)
2017-09-10 00:00:00,19,Ampicloxa 500mg caps ord(10x10)
2017-09-10 00:00:00,6,Ceftriaxone Inj ord…
2017-09-10 00:00:00,10,Ciprofloxacin ord 10x10
2017-09-10 00:00:00,30,Dexa tabs 0.5mg 10x10
2017-09-10 00:00:00,114,Diclofenac 50mg tabs ord. 10x10
2017-09-11 00:00:00,8,Action tabs (1x50) (pairs)
2017-09-11 00:00:00,1,Albendazole 400mg ord.. (doses)
2017-09-11 00:00:00,65,Amoxycilin caps ord… (10x10)
2017-09-11 00:00:00,57,Ampicloxa 500mg caps ord(10x10)
2017-09-11 00:00:00,30,Ciprofloxacin ord 10x10
2017-09-11 00:00:00,10,Cotrimoxazole 480mg ord…
2017-09-11 00:00:00,110,Diclofenac 50mg tabs ord. 10x10
2017-09-12 00:00:00,5,Action tabs (1x50) (pairs)
2017-09-12 00:00:00,2,Albendazole 400mg ord.. (doses)
2017-09-12 00:00:00,55,Amoxycilin caps ord… (10x10)
2017-09-12 00:00:00,12,Ampicloxa 500mg caps ord(10x10)
2017-09-12 00:00:00,10,Ciprofloxacin ord 10x10
2017-09-12 00:00:00,10,Cotrimoxazole 480mg ord…
2017-09-12 00:00:00,70,Dexa tabs 0.5mg 10x10
2017-09-13 00:00:00,2,Action tabs (1x50) (pairs)
2017-09-13 00:00:00,80,Ampicloxa 500mg caps ord(10x10)
2017-09-13 00:00:00,20,Ciprofloxacin ord 10x10
2017-09-13 00:00:00,20,Cotrimoxazole 480mg ord…
2017-09-13 00:00:00,14,Dexa tabs 0.5mg 10x10
2017-09-13 00:00:00,50,Diclofenac 50mg tabs ord. 10x10
2017-09-14 00:00:00,2,Action tabs (1x50) (pairs)
2017-09-14 00:00:00,1,Amlodac 10mg (3x10) (tabs)
2017-09-14 00:00:00,10,Amoxycilin caps ord… (10x10)
2017-09-14 00:00:00,19,Ampicloxa 500mg caps ord(10x10)
2017-09-14 00:00:00,15,Ceftriaxone Inj ord…
2017-09-14 00:00:00,22,Ciprofloxacin ord 10x10
2017-09-14 00:00:00,14,Cotrimoxazole 480mg ord…
2017-09-14 00:00:00,94,Dexa tabs 0.5mg 10x10
2017-09-14 00:00:00,310,Diclofenac 50mg tabs ord. 10x10
2017-09-15 00:00:00,50,Amoxycilin caps ord… (10x10)
2017-09-15 00:00:00,26,Ampicloxa 500mg caps ord(10x10)
2017-09-15 00:00:00,3,Ceftriaxone Inj ord…
2017-09-15 00:00:00,5,Ciprofloxacin ord 10x10
2017-09-15 00:00:00,15,Cotrimoxazole 480mg ord…
2017-09-15 00:00:00,120,Dexa tabs 0.5mg 10x10
2017-09-15 00:00:00,20,Diclofenac 50mg tabs ord. 10x10
2017-09-16 00:00:00,3,Action tabs (1x50) (pairs)
2017-09-16 00:00:00,3,Albendazole 400mg ord.. (doses)
2017-09-16 00:00:00,3,Amlodac 10mg (3x10) (tabs)
2017-09-16 00:00:00,20,Amoxycilin caps ord… (10x10)
2017-09-16 00:00:00,25,Ampicloxa 500mg caps ord(10x10)
2017-09-16 00:00:00,1,Ceftriaxone Inj ord…
2017-09-16 00:00:00,20,Ciprofloxacin ord 10x10
2017-09-16 00:00:00,5,Cotrimoxazole 480mg ord…
2017-09-16 00:00:00,150,Dexa tabs 0.5mg 10x10
2017-09-16 00:00:00,26,Diclofenac 50mg tabs ord. 10x10
2017-09-17 00:00:00,3,Action tabs (1x50) (pairs)
2017-09-17 00:00:00,590,Amoxycilin caps ord… (10x10)
2017-09-17 00:00:00,15,Ampicloxa 500mg caps ord(10x10)
2017-09-17 00:00:00,1,Ceftriaxone Inj ord…
2017-09-17 00:00:00,10,Ciprofloxacin ord 10x10
2017-09-17 00:00:00,38,Dexa tabs 0.5mg 10x10
2017-09-17 00:00:00,160,Diclofenac 50mg tabs ord. 10x10
2017-09-18 00:00:00,3,Action tabs (1x50) (pairs)
2017-09-18 00:00:00,3,Albendazole 400mg ord.. (doses)
2017-09-18 00:00:00,15,Amoxycilin caps ord… (10x10)
2017-09-18 00:00:00,100,Ampicloxa 500mg caps ord(10x10)
2017-09-18 00:00:00,2,Ceftriaxone Inj ord…
2017-09-18 00:00:00,10,Cotrimoxazole 480mg ord…
2017-09-18 00:00:00,10,Dexa tabs 0.5mg 10x10
2017-09-18 00:00:00,68,Diclofenac 50mg tabs ord. 10x10
2017-09-19 00:00:00,2,Action tabs (1x50) (pairs)
2017-09-19 00:00:00,1,Albendazole 400mg ord.. (doses)
2017-09-19 00:00:00,45,Amoxycilin caps ord… (10x10)
2017-09-19 00:00:00,32,Ampicloxa 500mg caps ord(10x10)
2017-09-19 00:00:00,1,Ceftriaxone Inj ord…
2017-09-19 00:00:00,10,Ciprofloxacin ord 10x10
2017-09-19 00:00:00,20,Cotrimoxazole 480mg ord…
2017-09-19 00:00:00,50,Dexa tabs 0.5mg 10x10
2017-09-19 00:00:00,60,Diclofenac 50mg tabs ord. 10x10
2017-09-20 00:00:00,2,Action tabs (1x50) (pairs)
2017-09-20 00:00:00,50,Ampicloxa 500mg caps ord(10x10)
2017-09-20 00:00:00,8,Ceftriaxone Inj ord…
2017-09-20 00:00:00,10,Ciprofloxacin ord 10x10
2017-09-20 00:00:00,32,Dexa tabs 0.5mg 10x10
2017-09-20 00:00:00,14,Diclofenac 50mg tabs ord. 10x10
2017-09-21 00:00:00,3,Action tabs (1x50) (pairs)
2017-09-21 00:00:00,20,Amoxycilin caps ord… (10x10)
2017-09-21 00:00:00,4,Ceftriaxone Inj ord…
2017-09-21 00:00:00,17,Ciprofloxacin ord 10x10
2017-09-21 00:00:00,13,Cotrimoxazole 480mg ord…
2017-09-21 00:00:00,150,Dexa tabs 0.5mg 10x10
2017-09-21 00:00:00,60,Diclofenac 50mg tabs ord. 10x10
2017-09-22 00:00:00,2,Action tabs (1x50) (pairs)
2017-09-22 00:00:00,2,Albendazole 400mg ord.. (doses)
2017-09-22 00:00:00,60,Amoxycilin caps ord… (10x10)
2017-09-22 00:00:00,35,Ampicloxa 500mg caps ord(10x10)
2017-09-22 00:00:00,5,Ciprofloxacin ord 10x10
2017-09-22 00:00:00,17,Cotrimoxazole 480mg ord…
2017-09-22 00:00:00,30,Dexa tabs 0.5mg 10x10
2017-09-22 00:00:00,220,Diclofenac 50mg tabs ord. 10x10
2017-09-23 00:00:00,1,Action tabs (1x50) (pairs)
2017-09-23 00:00:00,1,Albendazole 400mg ord.. (doses)
2017-09-23 00:00:00,1,Amlodac 10mg (3x10) (tabs)
2017-09-23 00:00:00,53,Amoxycilin caps ord… (10x10)
2017-09-23 00:00:00,70,Ampicloxa 500mg caps ord(10x10)
2017-09-23 00:00:00,6,Ceftriaxone Inj ord…
2017-09-23 00:00:00,3,Cotrimoxazole 480mg ord…
2017-09-23 00:00:00,10,Dexa tabs 0.5mg 10x10
2017-09-23 00:00:00,34,Diclofenac 50mg tabs ord. 10x10
2017-09-24 00:00:00,3,Action tabs (1x50) (pairs)
2017-09-24 00:00:00,2,Albendazole 400mg ord.. (doses)
2017-09-24 00:00:00,135,Amoxycilin caps ord… (10x10)
2017-09-24 00:00:00,57,Ampicloxa 500mg caps ord(10x10)
2017-09-24 00:00:00,70,Ciprofloxacin ord 10x10
2017-09-24 00:00:00,40,Cotrimoxazole 480mg ord…
2017-09-24 00:00:00,30,Dexa tabs 0.5mg 10x10
2017-09-24 00:00:00,12,Diclofenac 50mg tabs ord. 10x10
2017-09-25 00:00:00,4,Action tabs (1x50) (pairs)
2017-09-25 00:00:00,3,Albendazole 400mg ord.. (doses)
2017-09-25 00:00:00,23,Amoxycilin caps ord… (10x10)
2017-09-25 00:00:00,20,Ampicloxa 500mg caps ord(10x10)
2017-09-25 00:00:00,40,Ciprofloxacin ord 10x10
2017-09-25 00:00:00,24,Cotrimoxazole 480mg ord…
2017-09-25 00:00:00,84,Dexa tabs 0.5mg 10x10
2017-09-25 00:00:00,100,Diclofenac 50mg tabs ord. 10x10
2017-09-26 00:00:00,53,Action tabs (1x50) (pairs)
2017-09-26 00:00:00,75,Amoxycilin caps ord… (10x10)
2017-09-26 00:00:00,28,Ampicloxa 500mg caps ord(10x10)
2017-09-26 00:00:00,11,Ceftriaxone Inj ord…
2017-09-26 00:00:00,10,Ciprofloxacin ord 10x10
2017-09-26 00:00:00,112,Cotrimoxazole 480mg ord…
2017-09-26 00:00:00,42,Dexa tabs 0.5mg 10x10
2017-09-26 00:00:00,60,Diclofenac 50mg tabs ord. 10x10
2017-09-27 00:00:00,3,Action tabs (1x50) (pairs)
2017-09-27 00:00:00,10,Amlodac 10mg (3x10) (tabs)
2017-09-27 00:00:00,109,Amoxycilin caps ord… (10x10)
2017-09-27 00:00:00,35,Ampicloxa 500mg caps ord(10x10)
2017-09-27 00:00:00,1,Ceftriaxone Inj ord…
2017-09-27 00:00:00,30,Ciprofloxacin ord 10x10
2017-09-27 00:00:00,35,Cotrimoxazole 480mg ord…
2017-09-27 00:00:00,38,Dexa tabs 0.5mg 10x10
2017-09-27 00:00:00,46,Diclofenac 50mg tabs ord. 10x10
2017-09-28 00:00:00,4,Action tabs (1x50) (pairs)
2017-09-28 00:00:00,4,Albendazole 400mg ord.. (doses)
2017-09-28 00:00:00,60,Amoxycilin caps ord… (10x10)
2017-09-28 00:00:00,69,Ampicloxa 500mg caps ord(10x10)
2017-09-28 00:00:00,4,Ceftriaxone Inj ord…
2017-09-28 00:00:00,78,Ciprofloxacin ord 10x10
2017-09-28 00:00:00,14,Cotrimoxazole 480mg ord…
2017-09-28 00:00:00,100,Dexa tabs 0.5mg 10x10
2017-09-28 00:00:00,24,Diclofenac 50mg tabs ord. 10x10
2017-09-29 00:00:00,2,Action tabs (1x50) (pairs)
2017-09-29 00:00:00,3,Albendazole 400mg ord.. (doses)
2017-09-29 00:00:00,35,Amoxycilin caps ord… (10x10)
2017-09-29 00:00:00,19,Ampicloxa 500mg caps ord(10x10)
2017-09-29 00:00:00,32,Ciprofloxacin ord 10x10
2017-09-29 00:00:00,30,Cotrimoxazole 480mg ord…
2017-09-29 00:00:00,10,Dexa tabs 0.5mg 10x10
2017-09-29 00:00:00,24,Diclofenac 50mg tabs ord. 10x10
2017-09-30 00:00:00,8,Action tabs (1x50) (pairs)
2017-09-30 00:00:00,4,Albendazole 400mg ord.. (doses)
2017-09-30 00:00:00,10,Amoxycilin caps ord… (10x10)
2017-09-30 00:00:00,50,Ampicloxa 500mg caps ord(10x10)
2017-09-30 00:00:00,2,Ceftriaxone Inj ord…
2017-09-30 00:00:00,105,Ciprofloxacin ord 10x10
2017-09-30 00:00:00,120,Cotrimoxazole 480mg ord…
2017-09-30 00:00:00,10,Dexa tabs 0.5mg 10x10
2017-09-30 00:00:00,44,Diclofenac 50mg tabs ord. 10x10
2017-10-01 00:00:00,4,Albendazole 400mg ord.. (doses)
2017-10-01 00:00:00,71,Amoxycilin caps ord… (10x10)
2017-10-01 00:00:00,52,Ampicloxa 500mg caps ord(10x10)
2017-10-01 00:00:00,8,Ceftriaxone Inj ord…
2017-10-01 00:00:00,22,Ciprofloxacin ord 10x10
2017-10-01 00:00:00,20,Cotrimoxazole 480mg ord…
2017-10-01 00:00:00,50,Dexa tabs 0.5mg 10x10
2017-10-01 00:00:00,44,Diclofenac 50mg tabs ord. 10x10
2017-10-02 00:00:00,1,Action tabs (1x50) (pairs)
2017-10-02 00:00:00,1,Albendazole 400mg ord.. (doses)
2017-10-02 00:00:00,25,Amoxycilin caps ord… (10x10)
2017-10-02 00:00:00,165,Ampicloxa 500mg caps ord(10x10)
2017-10-02 00:00:00,1,Ceftriaxone Inj ord…
2017-10-02 00:00:00,10,Ciprofloxacin ord 10x10
2017-10-02 00:00:00,30,Cotrimoxazole 480mg ord…
2017-10-02 00:00:00,10,Dexa tabs 0.5mg 10x10
2017-10-02 00:00:00,22,Diclofenac 50mg tabs ord. 10x10
2017-10-03 00:00:00,2,Action tabs (1x50) (pairs)
2017-10-03 00:00:00,4,Albendazole 400mg ord.. (doses)
2017-10-03 00:00:00,5,Amoxycilin caps ord… (10x10)
2017-10-03 00:00:00,15,Ampicloxa 500mg caps ord(10x10)
2017-10-03 00:00:00,2,Ceftriaxone Inj ord…
2017-10-03 00:00:00,36,Ciprofloxacin ord 10x10
2017-10-03 00:00:00,40,Cotrimoxazole 480mg ord…
2017-10-03 00:00:00,60,Dexa tabs 0.5mg 10x10
2017-10-03 00:00:00,134,Diclofenac 50mg tabs ord. 10x10
2017-10-04 00:00:00,45,Amoxycilin caps ord… (10x10)
2017-10-04 00:00:00,7,Ceftriaxone Inj ord…
2017-10-04 00:00:00,20,Ciprofloxacin ord 10x10
2017-10-04 00:00:00,15,Cotrimoxazole 480mg ord…
2017-10-04 00:00:00,140,Dexa tabs 0.5mg 10x10
2017-10-05 00:00:00,5,Action tabs (1x50) (pairs)
2017-10-05 00:00:00,5,Amoxycilin caps ord… (10x10)
2017-10-05 00:00:00,20,Ampicloxa 500mg caps ord(10x10)
2017-10-05 00:00:00,7,Ceftriaxone Inj ord…
2017-10-05 00:00:00,3,Ciprofloxacin ord 10x10
2017-10-05 00:00:00,25,Cotrimoxazole 480mg ord…
2017-10-05 00:00:00,44,Dexa tabs 0.5mg 10x10
2017-10-05 00:00:00,10,Diclofenac 50mg tabs ord. 10x10
2017-10-06 00:00:00,5,Action tabs (1x50) (pairs)
2017-10-06 00:00:00,2,Albendazole 400mg ord.. (doses)
2017-10-06 00:00:00,40,Amoxycilin caps ord… (10x10)
2017-10-06 00:00:00,57,Ampicloxa 500mg caps ord(10x10)
2017-10-06 00:00:00,6,Ceftriaxone Inj ord…
2017-10-06 00:00:00,5,Ciprofloxacin ord 10x10
2017-10-06 00:00:00,40,Cotrimoxazole 480mg ord…
2017-10-06 00:00:00,60,Dexa tabs 0.5mg 10x10
2017-10-06 00:00:00,10,Diclofenac 50mg tabs ord. 10x10
2017-10-07 00:00:00,7,Action tabs (1x50) (pairs)
2017-10-07 00:00:00,1,Albendazole 400mg ord.. (doses)
2017-10-07 00:00:00,65,Amoxycilin caps ord… (10x10)
2017-10-07 00:00:00,41,Ampicloxa 500mg caps ord(10x10)
2017-10-07 00:00:00,2,Ceftriaxone Inj ord…
2017-10-07 00:00:00,60,Ciprofloxacin ord 10x10
2017-10-07 00:00:00,5,Cotrimoxazole 480mg ord…
2017-10-07 00:00:00,120,Dexa tabs 0.5mg 10x10
2017-10-07 00:00:00,140,Diclofenac 50mg tabs ord. 10x10
2017-10-08 00:00:00,3,Action tabs (1x50) (pairs)
2017-10-08 00:00:00,1,Albendazole 400mg ord.. (doses)
2017-10-08 00:00:00,7,Amlodac 10mg (3x10) (tabs)
2017-10-08 00:00:00,30,Amoxycilin caps ord… (10x10)
2017-10-08 00:00:00,87,Ampicloxa 500mg caps ord(10x10)
2017-10-08 00:00:00,5,Ceftriaxone Inj ord…
2017-10-08 00:00:00,35,Ciprofloxacin ord 10x10
2017-10-08 00:00:00,13,Cotrimoxazole 480mg ord…
2017-10-08 00:00:00,50,Dexa tabs 0.5mg 10x10
2017-10-08 00:00:00,58,Diclofenac 50mg tabs ord. 10x10
2017-10-09 00:00:00,2,Action tabs (1x50) (pairs)
2017-10-09 00:00:00,1,Albendazole 400mg ord.. (doses)
2017-10-09 00:00:00,40,Amoxycilin caps ord… (10x10)
2017-10-09 00:00:00,71,Ampicloxa 500mg caps ord(10x10)
2017-10-09 00:00:00,4,Ceftriaxone Inj ord…
2017-10-09 00:00:00,15,Ciprofloxacin ord 10x10
2017-10-09 00:00:00,77,Cotrimoxazole 480mg ord…
2017-10-09 00:00:00,84,Dexa tabs 0.5mg 10x10
2017-10-09 00:00:00,16,Diclofenac 50mg tabs ord. 10x10
2017-10-10 00:00:00,2,Action tabs (1x50) (pairs)
2017-10-10 00:00:00,1,Albendazole 400mg ord.. (doses)
2017-10-10 00:00:00,145,Amoxycilin caps ord… (10x10)
2017-10-10 00:00:00,40,Ampicloxa 500mg caps ord(10x10)
2017-10-10 00:00:00,36,Ceftriaxone Inj ord…
2017-10-10 00:00:00,54,Ciprofloxacin ord 10x10
2017-10-10 00:00:00,145,Cotrimoxazole 480mg ord…
2017-10-10 00:00:00,144,Dexa tabs 0.5mg 10x10
2017-10-10 00:00:00,10,Diclofenac 50mg tabs ord. 10x10
2017-10-11 00:00:00,3,Action tabs (1x50) (pairs)
2017-10-11 00:00:00,4,Albendazole 400mg ord.. (doses)
2017-10-11 00:00:00,40,Amoxycilin caps ord… (10x10)
2017-10-11 00:00:00,40,Ampicloxa 500mg caps ord(10x10)
2017-10-11 00:00:00,4,Ceftriaxone Inj ord…
